id,replicon_primary,S_ARG,S_VF,S_MOB,S_HOST,S_REP,S_SIZE,S_BMG,S_GEO,S_HAB,S_GROW
198263,,0.000000,0.000000,0.070000,0.760000,0.300000,0.629934,0.000000,0.000000,0.000000,0.000000
198264,,0.000000,0.000000,0.120573,0.760000,0.300000,0.530564,0.000000,0.528634,0.250000,0.284318
198265,,0.000000,0.000000,0.174348,0.760000,0.300000,0.528496,0.000000,0.000000,0.000000,0.000000
198266,,0.000000,0.000000,0.112040,0.760000,0.300000,0.588826,0.000000,0.000000,0.000000,0.000000
198267,,0.000000,0.000000,0.135132,0.760000,0.300000,0.513775,0.290000,0.000000,0.000000,0.000000
198268,,0.691284,0.000000,0.070000,0.760000,0.300000,0.580547,0.000000,0.000000,0.000000,0.000000
198269,,0.691284,0.000000,0.111609,0.760000,0.300000,0.543512,0.000000,0.000000,0.000000,0.000000
198270,,0.000000,0.000000,0.602080,0.760000,0.300000,0.661044,0.000000,0.000000,0.000000,0.000000
198271,IncFII,0.872303,0.000000,0.087100,0.760000,0.900000,0.602524,0.000000,0.000000,0.000000,0.140165
198272,,0.000000,0.000000,0.247096,0.760000,0.300000,0.539392,0.000000,0.000000,0.000000,0.000000
198273,IncX4,0.000000,0.000000,0.420000,0.760000,0.900000,0.688512,0.370000,0.000000,0.000000,0.000000
198274,,0.000000,0.000000,0.088687,0.760000,0.300000,0.642633,0.290000,0.000000,0.000000,0.000000
198275,,0.000000,0.000000,0.070000,0.760000,0.300000,0.553365,0.000000,0.000000,0.000000,0.000000
198276,,0.872303,0.360000,0.104312,0.840000,0.300000,0.629215,0.570000,0.360849,0.250000,0.223984
198277,,0.000000,0.000000,0.354690,0.760000,0.300000,0.561704,0.000000,0.683011,0.500000,0.666268
198278,,0.000000,0.000000,0.070000,0.760000,0.300000,0.667733,0.000000,0.000000,0.000000,0.000000
198279,IncFII,0.000000,0.480000,0.100687,0.780000,0.900000,0.636623,0.000000,0.528634,0.250000,0.331538
198280,,0.000000,0.000000,0.088675,0.760000,0.300000,0.642674,0.000000,0.000000,0.000000,0.000000
198281,,0.872303,0.000000,0.120997,0.760000,0.300000,0.602916,0.290000,0.000000,0.000000,0.000000
198282,Col440I,0.000000,0.000000,0.070000,0.760000,0.500000,0.513254,0.000000,0.588519,0.333333,0.584842
198283,IncFIB(AP001918),0.000000,0.000000,0.129850,0.760000,0.900000,0.611385,0.000000,0.528634,0.250000,0.331538
198284,,0.000000,0.000000,0.083006,0.760000,0.300000,0.666683,0.000000,0.000000,0.000000,0.000000
198285,IncFII,0.000000,0.480000,0.582984,0.780000,0.900000,0.525811,0.000000,0.721698,0.583333,0.755373
198286,,0.000000,0.000000,0.070000,0.760000,0.300000,0.467226,0.000000,0.000000,0.000000,0.000000
198287,,0.000000,0.510000,0.231573,0.800000,0.300000,0.591479,0.000000,1.000000,0.666667,0.749888
198288,,0.000000,0.000000,0.070000,0.760000,0.300000,0.706271,0.450000,0.000000,0.000000,0.000000
198289,,0.000000,0.000000,0.070000,0.760000,0.300000,0.668896,0.000000,0.000000,0.000000,0.140165
198290,Col156,0.000000,0.000000,0.420000,0.760000,0.500000,0.592498,0.440000,0.000000,0.000000,0.000000
198291,,0.000000,0.000000,0.454380,0.760000,0.300000,0.556177,0.000000,1.000000,0.666667,0.702668
198292,,0.872303,0.480000,0.127288,0.780000,0.300000,0.595197,0.410000,0.639151,0.166667,0.598355
198293,,0.000000,0.000000,0.070000,0.760000,0.300000,0.528933,0.000000,0.000000,0.000000,0.000000
198294,,0.691284,0.000000,0.104870,0.760000,0.300000,0.628143,0.680000,0.000000,0.000000,0.000000
198295,,0.000000,0.000000,0.070000,0.760000,0.300000,0.521594,0.000000,0.227670,0.000000,0.223984
198296,,0.000000,0.000000,0.070000,0.800000,0.300000,0.509674,0.000000,0.360849,0.083333,0.140165
198297,,0.000000,0.000000,0.070000,0.760000,0.300000,0.684676,0.330000,0.000000,0.000000,0.000000
198298,,0.000000,0.000000,0.081567,0.760000,0.300000,0.674463,0.750000,0.000000,0.000000,0.000000
198299,,0.436151,0.000000,0.097236,0.760000,0.300000,0.617634,0.000000,0.000000,0.000000,0.000000
198300,,0.000000,0.000000,0.433843,0.760000,0.300000,0.662543,0.000000,0.000000,0.000000,0.000000
198301,,0.000000,0.000000,0.453179,0.760000,0.300000,0.604536,0.000000,0.000000,0.000000,0.000000
198302,,0.000000,0.000000,0.146258,0.760000,0.300000,0.576215,0.000000,0.000000,0.000000,0.000000
198303,,0.000000,0.000000,0.420000,0.760000,0.300000,0.540345,0.000000,0.000000,0.000000,0.000000
198304,Col440I/ColRNAI,0.000000,0.000000,0.420000,0.760000,0.900000,0.561382,0.000000,0.949368,0.750000,0.358265
198305,,0.000000,0.480000,0.070000,0.780000,0.300000,0.626440,0.000000,0.528634,0.250000,0.223984
198306,,0.000000,0.000000,0.070000,0.760000,0.300000,0.528427,0.000000,0.000000,0.000000,0.000000
198307,Col440I,0.000000,0.000000,0.070000,0.760000,0.500000,0.525907,0.000000,0.000000,0.000000,0.000000
198308,,0.000000,0.000000,0.070000,0.760000,0.300000,0.509243,0.000000,0.000000,0.000000,0.000000
198309,ColRNAI,0.000000,0.000000,0.420000,0.760000,0.900000,0.569698,0.000000,0.000000,0.000000,0.000000
198310,,0.000000,0.000000,0.420000,0.760000,0.300000,0.569125,0.000000,0.455340,0.250000,0.223984
198311,,0.000000,0.480000,0.114105,0.780000,0.300000,0.539646,0.000000,0.683011,0.500000,0.839890
198312,IncFII,0.000000,0.000000,0.070000,0.760000,0.900000,0.634503,0.000000,0.000000,0.000000,0.000000
198313,,0.000000,0.000000,0.104335,0.760000,0.300000,0.629169,0.000000,0.000000,0.000000,0.000000
198314,,0.000000,0.000000,0.152690,0.760000,0.300000,0.497935,0.000000,0.000000,0.000000,0.000000
198315,,0.000000,0.360000,0.079512,0.800000,0.300000,0.687448,0.370000,0.000000,0.000000,0.000000
198316,,0.000000,0.000000,0.097734,0.760000,0.300000,0.662430,0.000000,0.000000,0.000000,0.000000
198317,ColRNAI,0.000000,0.000000,0.420000,0.760000,0.900000,0.598830,0.000000,0.000000,0.000000,0.000000
198318,,0.000000,0.000000,0.106346,0.760000,0.300000,0.552486,0.000000,0.227670,0.000000,0.140165
198319,,0.000000,0.000000,0.070000,0.760000,0.300000,0.459337,0.000000,0.000000,0.000000,0.000000
198320,,0.000000,0.000000,0.179389,0.760000,0.300000,0.571364,0.000000,0.000000,0.000000,0.000000
198321,,0.872303,0.000000,0.076611,0.760000,0.300000,0.711585,0.410000,0.227670,0.083333,0.140165
198322,,0.000000,0.480000,0.152820,0.780000,0.300000,0.616737,0.290000,0.983974,0.666667,0.471503
198323,,0.000000,0.000000,0.070000,0.760000,0.300000,0.690869,0.290000,0.000000,0.000000,0.000000
198324,,0.000000,0.000000,0.070000,0.760000,0.300000,0.679684,0.410000,0.360849,0.083333,0.223984
198325,,0.000000,0.000000,0.133492,0.760000,0.300000,0.561466,0.000000,0.360849,0.083333,0.223984
198326,,0.000000,0.000000,0.420000,0.760000,0.300000,0.585684,0.000000,0.000000,0.000000,0.000000
198327,,0.000000,0.000000,0.070000,0.760000,0.300000,0.536694,0.000000,0.455340,0.166667,0.284318
198328,,0.872303,0.360000,0.074329,0.800000,0.300000,0.693688,0.530000,0.360849,0.083333,0.370481
198329,,0.000000,0.000000,0.437275,0.760000,0.300000,0.601848,0.000000,0.000000,0.000000,0.000000
198330,,0.000000,0.000000,0.070000,0.760000,0.300000,0.575035,0.000000,0.000000,0.000000,0.000000
198331,Col440I,0.806006,0.000000,0.070000,0.760000,0.500000,0.530877,0.000000,0.000000,0.000000,0.000000
198332,,0.000000,0.000000,0.513380,0.760000,0.300000,0.562773,0.000000,0.639151,0.166667,0.501970
198333,Col440I,0.000000,0.000000,0.070000,0.760000,0.500000,0.544372,0.000000,0.000000,0.000000,0.140165
198334,Col(BS512),0.000000,0.000000,0.070000,0.760000,0.500000,0.510071,0.000000,0.000000,0.000000,0.000000
198335,,0.000000,0.540000,0.070000,0.820000,0.300000,0.705278,0.520000,0.227670,0.083333,0.140165
198336,IncFII/IncQ1,0.872303,0.000000,0.440000,0.800000,0.900000,0.548185,0.900000,1.000000,1.000000,1.000000
198337,,0.000000,0.330000,0.070000,0.780000,0.300000,0.693194,0.330000,0.000000,0.000000,0.000000
198338,,0.000000,0.000000,0.088824,0.760000,0.300000,0.642148,0.330000,0.000000,0.000000,0.000000
198339,Col156,0.000000,0.000000,0.420000,0.760000,0.500000,0.565710,0.000000,0.528634,0.250000,0.370481
198340,,0.000000,0.000000,0.240746,0.760000,0.300000,0.602623,0.000000,0.455340,0.333333,0.458090
198341,,0.000000,0.000000,0.096371,0.760000,0.300000,0.619775,0.290000,0.000000,0.000000,0.000000
198342,,0.000000,0.000000,0.153659,0.760000,0.300000,0.589160,0.000000,0.227670,0.000000,0.000000
198343,,0.000000,0.000000,0.070000,0.760000,0.300000,0.574148,0.000000,0.000000,0.000000,0.000000
198344,,0.000000,0.000000,0.102328,0.760000,0.300000,0.560261,0.000000,0.000000,0.000000,0.000000
198345,,0.000000,0.000000,0.090804,0.760000,0.300000,0.589511,0.000000,0.588519,0.250000,0.598355
198346,,0.000000,0.000000,0.070000,0.760000,0.300000,0.631717,0.000000,0.000000,0.000000,0.000000
198347,RepA,0.000000,0.000000,0.070000,0.760000,0.300000,0.681179,0.000000,0.000000,0.000000,0.000000
198348,IncFII(pSE11),0.000000,0.000000,0.642393,0.760000,0.900000,0.580873,0.000000,0.360849,0.166667,0.223984
198349,,0.000000,0.000000,0.070000,0.760000,0.300000,0.631717,0.000000,0.000000,0.000000,0.000000
198350,,0.436151,0.000000,0.163996,0.760000,0.300000,0.626038,0.440000,0.000000,0.000000,0.000000
198351,,0.000000,0.000000,0.070000,0.760000,0.300000,0.577375,0.000000,0.000000,0.000000,0.000000
198352,,0.000000,0.000000,0.153940,0.760000,0.300000,0.496940,0.000000,0.000000,0.000000,0.000000
198353,,0.872303,0.480000,0.076486,0.780000,0.300000,0.712856,0.370000,0.227670,0.083333,0.223984
198354,,0.436151,0.000000,0.104445,0.760000,0.300000,0.648049,0.750000,0.000000,0.000000,0.000000
198355,,0.000000,0.000000,0.070000,0.760000,0.300000,0.551612,0.000000,0.000000,0.000000,0.000000
198356,ColRNAI,0.000000,0.000000,0.420000,0.760000,0.900000,0.572919,0.000000,0.000000,0.000000,0.000000
198357,,0.000000,0.000000,0.466282,0.800000,0.300000,0.536448,0.000000,0.949368,1.000000,0.521067
198358,IncX1,0.000000,0.000000,0.420000,0.760000,0.900000,0.618645,0.330000,0.227670,0.166667,0.331538
198359,,0.000000,0.000000,0.111436,0.760000,0.300000,0.543788,0.000000,0.000000,0.000000,0.000000
198360,,0.000000,0.000000,0.173022,0.760000,0.300000,0.483346,0.000000,0.000000,0.000000,0.000000
198361,,0.000000,0.000000,0.618586,0.760000,0.300000,0.654089,0.000000,0.000000,0.000000,0.000000
198362,,0.000000,0.000000,0.110177,0.760000,0.300000,0.591835,0.000000,0.360849,0.083333,0.140165
198363,,0.000000,0.000000,0.420000,0.760000,0.300000,0.589299,0.000000,0.000000,0.000000,0.000000
198364,IncFIA,0.000000,0.000000,0.086684,0.760000,0.900000,0.650156,0.290000,0.000000,0.000000,0.000000
198365,IncI1,0.000000,0.480000,0.079042,0.780000,0.900000,0.644809,0.290000,0.360849,0.166667,0.223984
198366,Col156,0.000000,0.000000,0.420000,0.760000,0.500000,0.592498,0.440000,0.000000,0.000000,0.000000
198367,,0.000000,0.000000,0.420000,0.760000,0.300000,0.593042,0.000000,0.000000,0.000000,0.000000
198368,,0.000000,0.000000,0.070000,0.800000,0.300000,0.512170,0.000000,0.910681,0.750000,0.745001
198369,Col(BS512),0.000000,0.000000,0.070000,0.760000,0.500000,0.516041,0.000000,0.588519,0.250000,0.284318
198370,,0.000000,0.330000,0.070000,0.780000,0.300000,0.603813,0.490000,0.639151,0.583333,0.666268
198371,,0.000000,0.000000,0.107736,0.720000,0.300000,0.595995,0.680000,0.000000,0.000000,0.000000
198372,,0.000000,0.330000,0.099683,0.780000,0.300000,0.672731,0.000000,0.227670,0.166667,0.000000
198373,,0.000000,0.000000,0.070000,0.760000,0.300000,0.682086,0.330000,0.227670,0.083333,0.140165
198374,IncR,0.806006,0.000000,0.112394,0.800000,0.900000,0.649077,0.290000,0.455340,0.250000,0.370481
198375,,0.000000,0.000000,0.100002,0.760000,0.300000,0.638122,0.000000,0.360849,0.166667,0.140165
198376,,0.436151,0.000000,0.105145,0.720000,0.300000,0.554716,0.000000,0.000000,0.000000,0.000000
198377,,0.000000,0.000000,0.137832,0.800000,0.300000,0.629984,0.000000,0.683011,0.500000,0.718923
198378,,0.000000,0.000000,0.070000,0.760000,0.300000,0.484116,0.000000,0.000000,0.000000,0.000000
198379,,0.000000,0.420000,0.089205,0.840000,0.300000,0.732817,0.330000,0.000000,0.000000,0.000000
198380,,0.000000,0.000000,0.086712,0.760000,0.300000,0.650045,0.000000,0.000000,0.000000,0.000000
198381,,0.000000,0.000000,0.070000,0.760000,0.300000,0.521235,0.000000,0.000000,0.000000,0.000000
198382,Col440I,0.000000,0.000000,0.070000,0.760000,0.500000,0.504909,0.000000,0.000000,0.000000,0.000000
198383,,0.000000,0.390000,0.089646,0.820000,0.300000,0.731308,0.330000,0.000000,0.000000,0.000000
198384,,0.000000,0.000000,0.087033,0.800000,0.300000,0.648784,0.290000,0.000000,0.166667,0.284318
198385,IncFIB(pHCM2),0.000000,0.000000,0.110075,0.760000,0.900000,0.652811,0.000000,0.000000,0.083333,0.140165
198386,,0.000000,0.000000,0.096586,0.760000,0.300000,0.573237,0.000000,0.000000,0.083333,0.223984
198387,,0.691284,0.000000,0.120741,0.760000,0.300000,0.637151,0.000000,0.000000,0.000000,0.000000
198388,IncN,0.000000,0.000000,0.070000,0.760000,0.900000,0.535208,0.000000,0.000000,0.000000,0.000000
198389,Col440I,0.000000,0.000000,0.420000,0.760000,0.500000,0.575639,0.000000,0.000000,0.000000,0.000000
198390,,0.000000,0.000000,0.090067,0.760000,0.300000,0.591906,0.000000,0.000000,0.000000,0.000000
198391,,0.000000,0.000000,0.109113,0.760000,0.300000,0.547616,0.000000,0.000000,0.000000,0.000000
198392,IncFIB(AP001918),0.000000,0.360000,0.108902,0.800000,0.900000,0.666881,0.450000,0.360849,0.416667,0.501970
198393,,0.000000,0.000000,0.447243,0.760000,0.300000,0.690523,0.330000,0.000000,0.000000,0.000000
198394,,0.000000,0.360000,0.088631,0.800000,0.300000,0.688830,0.000000,0.455340,0.416667,0.370481
198395,,0.436151,0.000000,0.070000,0.760000,0.300000,0.535292,0.000000,0.000000,0.000000,0.000000
198396,,0.000000,0.330000,0.098662,0.780000,0.300000,0.687152,0.000000,0.000000,0.083333,0.140165
198397,,0.691284,0.000000,0.187921,0.760000,0.300000,0.672135,0.480000,0.000000,0.000000,0.000000
198398,,0.000000,0.000000,0.104851,0.760000,0.300000,0.555273,0.000000,0.000000,0.000000,0.000000
198399,,0.691284,0.000000,0.178170,0.760000,0.300000,0.668143,0.520000,0.000000,0.000000,0.000000
198400,,0.000000,0.000000,0.108336,0.760000,0.300000,0.640946,0.000000,0.683011,0.250000,0.584842
198401,,0.691284,0.000000,0.091909,0.760000,0.300000,0.632077,0.290000,0.000000,0.000000,0.000000
198402,IncX1,0.000000,0.000000,0.425285,0.760000,0.900000,0.680444,0.330000,0.000000,0.000000,0.140165
198403,IncX4,0.524094,0.000000,0.420000,0.760000,0.900000,0.680310,0.410000,0.000000,0.000000,0.000000
198404,IncFIA(HI1)/IncFIB(AP001918),0.000000,0.330000,0.506605,0.820000,0.900000,0.567772,0.370000,0.588519,0.500000,0.584842
198405,IncFIA(HI1)/IncFIB(K),0.000000,0.000000,0.486342,0.760000,0.900000,0.604551,0.290000,0.360849,0.333333,0.331538
198406,,0.872303,0.360000,0.082060,0.800000,0.300000,0.671696,0.530000,0.455340,0.666667,0.710945
198407,,0.691284,0.480000,0.162133,0.780000,0.300000,0.658310,0.450000,0.360849,0.166667,0.000000
198408,,0.000000,0.000000,0.420000,0.760000,0.300000,0.540998,0.000000,0.000000,0.000000,0.140165
198409,,0.000000,0.000000,0.079780,0.760000,0.300000,0.639605,0.750000,0.227670,0.083333,0.000000
198410,,0.691284,0.480000,0.156911,0.780000,0.300000,0.676168,0.450000,0.360849,0.083333,0.140165
198411,,0.000000,0.000000,0.070000,0.760000,0.300000,0.470403,0.000000,0.000000,0.000000,0.000000
198412,,0.000000,0.330000,0.070000,0.780000,0.300000,0.578242,0.000000,0.000000,0.000000,0.000000
198413,,0.000000,0.000000,0.077094,0.760000,0.300000,0.660909,0.000000,0.000000,0.000000,0.000000
198414,,0.000000,0.000000,0.070000,0.760000,0.300000,0.516485,0.000000,0.000000,0.000000,0.000000
198415,,0.000000,0.000000,0.070000,0.760000,0.300000,0.551039,0.000000,0.000000,0.000000,0.000000
198416,,0.000000,0.000000,0.070000,0.760000,0.300000,0.497752,0.000000,0.000000,0.000000,0.000000
198417,,0.000000,0.000000,0.087018,0.760000,0.300000,0.602841,0.290000,0.000000,0.000000,0.000000
198418,,0.000000,0.420000,0.082893,0.840000,0.300000,0.694169,0.330000,0.000000,0.000000,0.000000
198419,,0.000000,0.000000,0.108951,0.760000,0.300000,0.639890,0.000000,0.000000,0.000000,0.140165
198420,,0.000000,0.000000,0.121343,0.720000,0.300000,0.575560,0.000000,0.000000,0.000000,0.000000
198421,,0.691284,0.000000,0.070000,0.720000,0.300000,0.681621,0.640000,0.227670,0.083333,0.000000
198422,,0.000000,0.000000,0.070000,0.760000,0.300000,0.563089,0.330000,0.360849,0.250000,0.140165
198423,,0.000000,0.000000,0.070000,0.720000,0.300000,0.483301,0.290000,0.000000,0.000000,0.000000
198424,,0.000000,0.000000,0.420000,0.720000,0.300000,0.570671,0.000000,0.000000,0.000000,0.000000
198425,Col8282,0.000000,0.000000,0.420000,0.720000,0.300000,0.551105,0.000000,0.000000,0.000000,0.000000
198426,,0.000000,0.330000,0.595000,0.740000,0.300000,0.670400,0.000000,0.227670,0.083333,0.000000
198427,,0.436151,0.000000,0.070000,0.720000,0.300000,0.585420,0.000000,0.000000,0.000000,0.000000
198428,,0.000000,0.000000,0.070000,0.760000,0.300000,0.546605,0.290000,0.227670,0.166667,0.140165
198429,,0.000000,0.000000,0.070000,0.720000,0.300000,0.465400,0.000000,0.000000,0.000000,0.000000
198430,,0.000000,0.000000,0.070000,0.720000,0.300000,0.709057,0.410000,0.000000,0.000000,0.000000
198431,IncB/O/K/Z,0.000000,0.000000,0.070000,0.720000,0.500000,0.627875,0.000000,0.000000,0.000000,0.000000
198432,,0.000000,0.000000,0.081962,0.720000,0.300000,0.699142,0.290000,0.227670,0.083333,0.223984
198433,,0.000000,0.480000,0.070000,0.740000,0.300000,0.625081,0.290000,0.000000,0.000000,0.000000
198434,,0.000000,0.000000,0.441380,0.720000,0.300000,0.587701,0.000000,0.000000,0.000000,0.000000
198435,,0.000000,0.000000,0.123860,0.720000,0.300000,0.526386,0.000000,0.000000,0.000000,0.000000
198436,,0.691284,0.000000,0.070000,0.720000,0.300000,0.648481,0.410000,0.000000,0.000000,0.000000
198437,,0.872303,0.330000,0.077158,0.740000,0.300000,0.660317,0.490000,0.000000,0.000000,0.000000
198438,,0.000000,0.000000,0.196156,0.720000,0.300000,0.576708,0.000000,0.000000,0.000000,0.000000
198439,,0.691284,0.000000,0.121099,0.720000,0.300000,0.621876,0.000000,0.000000,0.000000,0.000000
198440,IncFII,0.000000,0.000000,0.595000,0.720000,0.900000,0.671126,0.000000,0.000000,0.000000,0.000000
198441,,0.691284,0.000000,0.181766,0.720000,0.300000,0.650067,0.870000,0.000000,0.000000,0.000000
198442,,0.000000,0.000000,0.074261,0.720000,0.300000,0.694745,0.000000,0.000000,0.000000,0.000000
198443,,0.000000,0.000000,0.070000,0.720000,0.300000,0.635927,0.000000,0.000000,0.000000,0.000000
198444,,0.000000,0.330000,0.070000,0.740000,0.300000,0.618312,0.000000,0.000000,0.000000,0.000000
198445,,0.000000,0.000000,0.070000,0.760000,0.300000,0.499846,0.000000,0.227670,0.083333,0.223984
198446,,0.000000,0.000000,0.420000,0.720000,0.300000,0.658581,0.000000,0.000000,0.000000,0.000000
198447,,0.000000,0.480000,0.070000,0.740000,0.300000,0.596128,0.000000,0.000000,0.000000,0.000000
198448,,0.000000,0.000000,0.070000,0.720000,0.300000,0.633922,0.000000,0.000000,0.000000,0.000000
198449,,0.000000,0.000000,0.182275,0.720000,0.300000,0.477638,0.000000,0.000000,0.000000,0.000000
198450,,0.691284,0.000000,0.083269,0.760000,0.300000,0.665355,0.330000,0.227670,0.000000,0.000000
198451,,0.000000,0.000000,0.070000,0.760000,0.300000,0.656121,0.000000,0.227670,0.000000,0.000000
198452,,0.000000,0.000000,0.070000,0.720000,0.300000,0.532916,0.000000,0.000000,0.000000,0.000000
198453,,0.000000,0.000000,0.099880,0.720000,0.300000,0.565485,0.000000,0.000000,0.000000,0.000000
198454,,0.000000,0.480000,0.070000,0.780000,0.300000,0.530250,0.000000,0.455340,0.166667,0.223984
198455,,0.000000,0.000000,0.070000,0.720000,0.300000,0.698269,0.000000,0.000000,0.000000,0.000000
198456,,0.000000,0.000000,0.078387,0.720000,0.300000,0.649801,0.000000,0.000000,0.000000,0.000000
198457,,0.000000,0.000000,0.206116,0.720000,0.300000,0.556857,0.000000,0.000000,0.000000,0.000000
198458,,0.000000,0.000000,0.070000,0.720000,0.300000,0.682229,0.370000,0.000000,0.000000,0.000000
198459,IncFIB(AP001918)/IncFII,0.000000,0.000000,0.446473,0.720000,0.900000,0.680327,0.000000,0.000000,0.000000,0.000000
198460,,0.000000,0.330000,0.095419,0.740000,0.300000,0.576215,0.000000,0.000000,0.000000,0.000000
198461,,0.000000,0.330000,0.070000,0.740000,0.300000,0.618067,0.000000,0.000000,0.000000,0.000000
198462,IncFIA,0.000000,0.000000,0.420000,0.720000,0.900000,0.660301,0.000000,0.000000,0.000000,0.000000
198463,,0.000000,0.000000,0.070000,0.720000,0.300000,0.644488,0.000000,0.000000,0.000000,0.000000
198464,,0.000000,0.000000,0.070000,0.760000,0.300000,0.478673,0.000000,0.000000,0.000000,0.000000
198465,,0.000000,0.000000,0.420000,0.720000,0.300000,0.585411,0.000000,0.000000,0.000000,0.000000
198466,IncFII(pCoo),0.000000,0.330000,0.595000,0.780000,0.900000,0.591897,0.000000,0.721698,0.500000,0.577761
198467,,0.000000,0.000000,0.070000,0.760000,0.300000,0.566742,0.000000,0.000000,0.000000,0.000000
198468,,0.000000,0.000000,0.070000,0.760000,0.300000,0.671675,0.000000,0.000000,0.000000,0.000000
198469,,0.000000,0.000000,0.070000,0.760000,0.300000,0.689897,0.000000,0.000000,0.000000,0.000000
198470,IncFII(Yp),0.000000,0.000000,0.420000,0.760000,0.900000,0.627279,0.000000,0.227670,0.083333,0.140165
198471,IncU,0.000000,0.000000,0.127259,0.800000,0.500000,0.595231,0.680000,0.000000,0.083333,0.140165
198472,,0.000000,0.480000,0.139303,0.780000,0.300000,0.616461,0.000000,0.000000,0.000000,0.000000
198473,,0.000000,0.000000,0.070000,0.760000,0.300000,0.675069,0.000000,0.000000,0.000000,0.000000
198474,IncFIA,0.000000,0.000000,0.084641,0.760000,0.900000,0.658824,0.290000,0.000000,0.000000,0.000000
198475,IncFII(pRSB107),0.000000,0.000000,0.595000,0.760000,0.900000,0.649313,0.000000,0.000000,0.000000,0.000000
198476,,0.000000,0.000000,0.070000,0.760000,0.300000,0.631159,0.000000,0.000000,0.000000,0.000000
198477,,0.691284,0.000000,0.105855,0.760000,0.300000,0.599387,0.000000,0.000000,0.000000,0.000000
198478,,0.000000,0.000000,0.420000,0.800000,0.300000,0.551416,0.000000,0.787610,0.750000,1.000000
198479,,0.000000,0.000000,0.070000,0.760000,0.300000,0.479160,0.000000,0.000000,0.000000,0.000000
198480,p0111,0.000000,0.000000,0.070000,0.760000,0.300000,0.661912,0.000000,0.528634,0.083333,0.284318
198481,,0.524094,0.000000,0.606290,0.760000,0.300000,0.676076,0.290000,0.227670,0.083333,0.140165
198482,,0.000000,0.000000,0.080943,0.760000,0.300000,0.678146,0.000000,0.816189,0.833333,0.964049
198483,IncQ1,0.000000,0.000000,0.420000,0.720000,0.500000,0.597855,0.330000,0.000000,0.000000,0.000000
198484,,0.000000,0.000000,0.070000,0.720000,0.300000,0.531475,0.000000,0.227670,0.083333,0.140165
198485,Col440I,0.000000,0.000000,0.070000,0.720000,0.500000,0.518070,0.000000,0.000000,0.000000,0.000000
198486,IncX4,0.524094,0.000000,0.428689,0.720000,0.900000,0.693448,0.410000,0.000000,0.000000,0.000000
198487,IncX1,0.000000,0.000000,0.184427,0.760000,0.900000,0.614375,0.290000,0.360849,0.166667,0.140165
198488,,0.000000,0.000000,0.070000,0.800000,0.300000,0.532265,0.000000,0.227670,0.000000,0.140165
198489,,0.000000,0.000000,0.070000,0.720000,0.300000,0.531254,0.000000,0.000000,0.000000,0.000000
198490,Col440I,0.000000,0.000000,0.070000,0.720000,0.500000,0.519381,0.000000,0.000000,0.000000,0.000000
198491,,0.000000,0.000000,0.070000,0.720000,0.300000,0.517989,0.000000,0.000000,0.000000,0.000000
