acc_base,accession,label,n_arg,n_highrisk,has_vf,length_bp,is_chromosome,replicons,n_housekeeping,S_ARG,n_vf,S_VF,S_SIZE,n_metal,S_BM,n_is,n_tn,S_MOB,S_REP,S_HOST,S_GEO,S_HAB,S_GROW,S_final,grade
AP045807,AP045807,high_risk,10,1,0,244194,False,IncHI2;pKPC-CAV1321;IncHI2A,0,0.944948051202489,0,0.0,0.974480333229233,12,0.666195071670059,14,4,0.111056782721934,0.9,0.76,0.0,0.0,0.0,0.595008415672478,B
AP045809,AP045809,high_risk,3,1,1,99218,False,IncN;IncFII(pHN7A8),0,0.630676558073393,1,0.289064826317888,0.888734257861261,1,0.25,4,0,0.595,0.9,0.76,0.0,0.0,0.0,0.545125780202123,B
AP045813,AP045813,high_risk,6,1,1,174130,False,IncFIB(AP001918);IncFIC(FII);IncFIA,0,0.804530977561084,10,1.0,0.954998303767486,7,0.540093979970078,13,3,0.436668518724303,0.9,0.76,0.0,0.0,0.0,0.706536769869426,A
AP045815,AP045815,high_risk,14,1,1,112230,False,IncFIB(AP001918);Col156;IncFIA,0,1.0,1,0.289064826317888,0.908208212866675,2,0.285342901705939,10,1,0.42,0.9,0.76,0.0,0.0,0.0,0.61080397069103,A
AP045817,AP045817,high_risk,15,1,1,162036,False,IncFIB(AP001918);Col156;IncFII(pAMA1167-NDM-5);IncFIA,0,1.0,1,0.289064826317888,0.949307800053779,2,0.285342901705939,11,2,0.429578981778811,0.9,0.76,0.0,0.0,0.0,0.620189846235513,A
AP045821,AP045821,high_risk,8,1,0,88597,False,IncFII,0,0.882606194485985,0,0.0,0.867747872651519,1,0.25,5,0,0.42,0.9,0.76,0.0,0.0,0.0,0.535604811785564,B
AP045823,AP045823,high_risk,8,1,0,88651,False,IncFII,0,0.882606194485985,0,0.0,0.86786929926763,1,0.25,5,0,0.42,0.9,0.76,0.0,0.0,0.0,0.535626765717757,B
AP045827,AP045827,high_risk,8,1,1,127637,False,IncFIC(FII);IncFIB(AP001918),0,0.882606194485985,5,0.747221736309214,0.925215866279024,6,0.505411831014226,13,4,0.436668518724303,0.9,0.76,0.0,0.0,0.0,0.685235550714742,A
AP045829,AP045829,high_risk,11,1,1,151884,False,IncFIB(AP001918);IncFII,0,0.971979655316386,1,0.289064826317888,0.943617554215981,6,0.505411831014226,14,2,0.42,0.9,0.76,0.0,0.0,0.0,0.656825157098346,A
AP051959,AP051959,low_risk,0,0,0,2096,False,ColpVC,0,0.0,0,0.0,0.0097284953795468,0,0.0,0,0,0.07,0.3,0.76,0.0,0.0,0.0,0.0383779119646221,E
AP051969,AP051969,low_risk,0,0,0,2097,False,ColpVC,0,0.0,0,0.0,0.0097364813158801,0,0.0,0,0,0.07,0.3,0.76,0.0,0.0,0.0,0.0383793558219111,E
CP039952,CP039952,high_risk,11,1,0,156332,False,IncFIB(K),0,0.971979655316386,0,0.0,0.946226771109197,25,0.846226398326751,21,2,0.122068418493974,0.9,0.8,0.0,0.0,0.0,0.637915599379224,A
CP039955,CP039955,high_risk,11,1,0,156332,False,IncFIB(K),0,0.971979655316386,0,0.0,0.946226771109197,25,0.846226398326751,21,2,0.122068418493974,0.9,0.8,0.0,0.0,0.0,0.637915599379224,A
CP041032,CP041032,high_risk,10,1,1,126409,False,IncFIB(AP001918);Col156;IncFIC(FII);IncFIA,0,0.944948051202489,6,0.811507562957249,0.924045508977353,7,0.540093979970078,15,1,0.436668518724303,0.9,0.76,0.0,0.0,0.0,0.7146558330989,A
CP073927,CP073927,high_risk,8,1,1,118380,False,IncFIB(AP001918);IncFIC(FII);IncFIA,0,0.882606194485985,5,0.747221736309214,0.915647600821195,6,0.505411831014226,16,1,0.436668518724303,0.9,0.76,0.0,0.0,0.0,0.683505608319966,A
CP073995,CP073995,high_risk,10,1,1,98811,False,IncFIB(AP001918);IncFIC(FII);IncFIA,0,0.944948051202489,5,0.747221736309214,0.888026182847404,5,0.465374228362632,12,1,0.436668518724303,0.9,0.76,0.0,0.0,0.0,0.685317000794488,A
CP074036,CP074036,high_risk,2,1,0,88772,False,IncI1-I(Alpha),0,0.541303097242993,0,0.0,0.868140773922302,1,0.25,1,0,0.10168972198441,0.3,0.76,0.0,0.0,0.0,0.385357722387255,C
CP094354,CP094354,high_risk,8,1,0,131782,False,,0,0.882606194485985,0,0.0,0.92896770607837,3,0.360062653313385,6,1,0.107967704238819,0.3,0.76,0.0,0.0,0.0,0.504432798484068,B
CP099747,CP099747,high_risk,9,1,0,177859,False,IncC,0,0.915338279036696,0,0.0,0.956553996277335,3,0.360062653313385,9,2,0.109277011565341,0.3,0.76,0.0,0.0,0.0,0.517700443675398,B
CP099750,CP099750,high_risk,9,1,0,177859,False,IncC,0,0.915338279036696,0,0.0,0.956553996277335,3,0.360062653313385,9,2,0.109277011565341,0.3,0.76,0.0,0.0,0.0,0.517700443675398,B
CP099753,CP099753,high_risk,9,1,0,177859,False,IncC,0,0.915338279036696,0,0.0,0.956553996277335,3,0.360062653313385,9,2,0.109277011565341,0.3,0.76,0.0,0.0,0.0,0.517700443675398,B
CP099755,CP099755,high_risk,9,1,0,177860,False,IncC,0,0.915338279036696,0,0.0,0.956554402182543,3,0.360062653313385,10,2,0.1101203193523,0.3,0.76,0.0,0.0,0.0,0.517872636182378,B
CP114251,CP114251,high_risk,18,2,0,98796,False,IncR,0,1.0,0,0.0,0.887999955768016,5,0.465374228362632,8,1,0.113664520830803,0.9,0.8,0.0,0.0,0.0,0.552096357734612,B
CP114539,CP114539,high_risk,11,1,0,251844,False,repHI5B_1_pC39;repFIB_1_pC39,0,0.971979655316386,0,0.0,0.975779598284539,12,0.666195071670059,11,1,0.107147281650546,0.3,0.76,0.0,0.0,0.0,0.599262730312889,B
CP115125,CP115125,high_risk,8,1,0,161895,False,IncFIB(pB171);IncFII(Yp);IncFII(pAR0022),0,0.882606194485985,0,0.0,0.949234974426745,7,0.540093979970078,18,5,0.595,0.9,0.78,0.0,0.0,0.0,0.647887028356205,A
CP118000,CP118000,high_risk,2,2,0,93075,False,IncFII(pAR0022);IncFIA(HI1);IncFII(pKP91),0,0.541303097242993,0,0.0,0.877272063814257,2,0.285342901705939,5,2,0.11222972972973,0.9,0.8,0.0,0.0,0.0,0.399552296020834,C
CP123933,CP123933,high_risk,6,1,1,299962,False,IncHI1B(pNDM-MAR),0,0.804530977561084,6,0.811507562957249,0.982009902832744,13,0.685443157670919,19,2,0.110501330168488,0.3,0.76,0.0,0.0,0.0,0.653088719026715,A
CP123934,CP123934,low_risk,0,0,0,112868,False,,0,0.0,0,0.0,0.909025863869581,0,0.0,0,0,0.0851933352000387,0.3,0.76,0.0,0.0,0.0,0.204071835901948,D
CP123940,CP123940,high_risk,6,1,1,299905,False,IncHI1B(pNDM-MAR),0,0.804530977561084,6,0.811507562957249,0.982004069554788,13,0.685443157670919,19,2,0.11050332605325,0.3,0.76,0.0,0.0,0.0,0.65308807173014,A
CP136450,CP136450,high_risk,8,1,0,120635,False,IncFIA(HI1),0,0.882606194485985,0,0.0,0.918145176944133,1,0.25,13,4,0.121138143988063,0.9,0.8,0.0,0.0,0.0,0.484846939589632,B
CP136470,CP136470,high_risk,7,1,0,182565,False,IncFIA(HI1);IncFII(pKP91),0,0.84601483711009,0,0.0,0.95840079765842,0,0.0,14,3,0.113967627968121,0.9,0.8,0.0,0.0,0.0,0.428904089209486,C
CP146489,CP146489,low_risk,0,0,0,3830,False,,0,0.0,0,0.0,0.0272336673708097,0,0.0,0,0,0.0851933352000387,0.3,0.76,0.0,0.0,0.0,0.0446438067749703,E
CP146490,CP146490,low_risk,0,0,0,3069,False,,0,0.0,0,0.0,0.0186973803833293,0,0.0,0,0,0.0851933352000387,0.3,0.76,0.0,0.0,0.0,0.0431004460876338,E
CP146914,CP146914,low_risk,0,0,0,7596,False,,0,0.0,0,0.0,0.0842353143503509,0,0.0,0,0,0.0851933352000387,0.3,0.76,0.0,0.0,0.0,0.0549497045488714,E
CP146915,CP146915,low_risk,0,0,0,7096,False,,0,0.0,0,0.0,0.0755481621771326,0,0.0,0,0,0.0851933352000387,0.3,0.76,0.0,0.0,0.0,0.0533790674359535,E
CP146917,CP146917,low_risk,0,0,0,5648,False,,0,0.0,0,0.0,0.0521087812594337,1,0.25,0,0,0.0851933352000387,0.3,0.76,0.0,0.0,0.0,0.101941227366034,E
CP146918,CP146918,low_risk,0,0,0,5456,False,,0,0.0,0,0.0,0.049219769902367,0,0.0,0,0,0.0851933352000387,0.3,0.76,0.0,0.0,0.0,0.0486188941126759,E
CP156758,CP156758,low_risk,0,0,0,9028,False,,0,0.0,0,0.0,0.110453337600069,0,0.0,0,0,0.0851933352000387,0.3,0.76,0.0,0.0,0.0,0.0596899231524204,E
CP165980,CP165980,low_risk,0,0,0,6143,False,,0,0.0,0,0.0,0.0598069721534628,1,0.25,0,0,0.0851933352000387,0.3,0.76,0.0,0.0,0.0,0.103333060279674,E
CP166293,CP166293,high_risk,13,1,0,300111,False,IncHI2;pKPC-CAV1321;IncHI2A,0,1.0,0,0.0,0.982025137230311,22,0.814382860162688,22,2,0.111995561642192,0.9,0.76,0.0,0.0,0.0,0.641338099008771,A
CP168551,CP168551,low_risk,0,0,0,1577,False,,0,0.0,0,0.0,0.0059573270012605,0,0.0,0,0,0.0851933352000387,0.3,0.76,0.0,0.0,0.0,0.0407970444361558,E
CP171944,CP171944,high_risk,7,1,0,461234,False,,1,0.84601483711009,0,0.0,0.991398672859481,17,0.75071713006857,5,2,0.102276501732309,0.3,0.76,0.0,0.0,0.0,0.588107404051591,B
CP171946,CP171946,high_risk,7,1,1,398781,False,,0,0.84601483711009,3,0.578129652635776,0.988952616566639,11,0.645405555019324,0,1,0.100376146305867,0.3,0.76,0.0,0.0,0.0,0.628398499809788,A
CP172965,CP172965,high_risk,8,1,0,425148,False,IncP6,0,0.882606194485985,0,0.0,0.990103962665913,12,0.666195071670059,2,2,0.435260110004141,0.9,0.76,0.0,0.0,0.0,0.648741780448728,A
CP173286,CP173286,high_risk,21,4,0,335980,False,IncFIB(pNDM-Mar);IncHI1B(pNDM-MAR),0,1.0,0,0.0,0.985178860229205,19,0.778082448637404,21,0,0.109375558068933,0.3,0.76,0.0,0.0,0.0,0.631906902483529,A
CP176562,CP176562,high_risk,16,3,0,312954,False,IncHI2A;IncHI2;pKPC-CAV1321,0,1.0,0,0.0,0.983265998396872,30,0.891910534276641,19,3,0.110544680687897,0.9,0.76,0.0,0.0,0.0,0.657640166677781,A
CP178201,CP178201,low_risk,0,0,0,175805,False,IncFIB(K),0,0.0,0,0.0,0.955707640950808,30,0.891910534276641,12,3,0.11279827081141,0.9,0.8,0.0,0.0,0.0,0.409445573395741,C
CP187415,CP187415,low_risk,0,0,0,5417,False,,0,0.0,0,0.0,0.0486398438537619,0,0.0,0,0,0.0851933352000387,0.3,0.76,0.0,0.0,0.0,0.0485140434830881,E
CP189406,CP189406,high_risk,16,1,0,100107,False,IncFIB(AP001918);IncFII(pAMA1167-NDM-5);IncFIA,0,1.0,0,0.0,0.890257376267304,2,0.285342901705939,14,1,0.429578981778811,0.9,0.76,0.0,0.0,0.0,0.577832024650478,B
CP189410,CP189410,high_risk,16,1,0,97178,False,IncFIB(AP001918);IncFII(pAMA1167-NDM-5);IncFIA,0,1.0,0,0.0,0.885115087029743,2,0.285342901705939,14,1,0.429578981778811,0.9,0.76,0.0,0.0,0.0,0.576902298756327,B
CP189450,CP189450,high_risk,7,1,1,125383,False,IncFIB(AP001918);Col156;IncFIC(FII);IncFIA,0,0.84601483711009,6,0.811507562957249,0.923045884824136,6,0.505411831014226,14,0,0.436668518724303,0.9,0.76,0.0,0.0,0.0,0.682931380382703,A
CP189465,CP189465,high_risk,22,2,0,108280,False,IncFIB(AP001918);IncFII(pAMA1167-NDM-5);IncFIA,0,1.0,0,0.0,0.90288575589725,3,0.360062653313385,15,1,0.429578981778811,0.9,0.76,0.0,0.0,0.0,0.595896047227065,B
CP189486,CP189486,high_risk,13,2,0,134732,False,IncFIB(AP001918);ColKP3;IncX3;IncFII(pAMA1167-NDM-5);IncFIA,0,1.0,0,0.0,0.931463975761276,3,0.360062653313385,16,1,0.429578981778811,0.9,0.8,0.0,0.0,0.0,0.602190989378481,A
CP189488,CP189488,high_risk,5,1,1,89482,False,IncFIB(AP001918);IncFIC(FII);IncFIA,0,0.756641376279689,5,0.747221736309214,0.869716869328755,5,0.465374228362632,11,1,0.436668518724303,0.9,0.76,0.0,0.0,0.0,0.635909202889215,A
CP189494,CP189494,high_risk,7,1,1,96878,False,IncFIB(AP001918);IncFIC(FII);IncFIA,0,0.84601483711009,5,0.747221736309214,0.884567781549176,5,0.465374228362632,14,1,0.436668518724303,0.9,0.76,0.0,0.0,0.0,0.660472871029949,A
CP189508,CP189508,high_risk,7,1,1,96878,False,IncFIB(AP001918);IncFIC(FII);IncFIA,0,0.84601483711009,5,0.747221736309214,0.884567781549176,5,0.465374228362632,14,1,0.436668518724303,0.9,0.76,0.0,0.0,0.0,0.660472871029949,A
CP189515,CP189515,high_risk,7,1,1,96857,False,IncFIB(AP001918);IncFIC(FII);IncFIA,0,0.84601483711009,5,0.747221736309214,0.884529321789573,5,0.465374228362632,14,1,0.436668518724303,0.9,0.76,0.0,0.0,0.0,0.660465917505413,A
CP189522,CP189522,high_risk,16,1,0,100923,False,IncFIB(AP001918);IncFII(pAMA1167-NDM-5);IncFIA,0,1.0,0,0.0,0.8916276459374,2,0.285342901705939,15,1,0.429578981778811,0.9,0.76,0.0,0.0,0.0,0.578079769406832,B
CP189536,CP189536,high_risk,16,1,0,97178,False,IncFIB(AP001918);IncFII(pAMA1167-NDM-5);IncFIA,0,1.0,0,0.0,0.885115087029743,2,0.285342901705939,14,1,0.429578981778811,0.9,0.76,0.0,0.0,0.0,0.576902298756327,B
CP193668,CP193668,high_risk,14,3,0,173488,False,IncFIB(pECLA);IncFII(pECLA),0,1.0,0,0.0,0.95472173231134,36,0.937864800570352,13,2,0.112969196716776,0.9,0.8,0.0,0.0,0.14016454749439,0.66586816698041,A
CP193675,CP193675,high_risk,20,3,0,198902,False,IncFIB(pECLA);IncFII(pECLA),0,1.0,0,0.0,0.96394788082846,46,1.0,15,2,0.112820383907653,0.9,0.8,0.0,0.0,0.14016454749439,0.680628836057505,A
CP193678,CP193678,high_risk,19,3,0,295960,False,IncHI2A;pKPC-CAV1321;IncHI2,0,1.0,0,0.0,0.981593023861072,32,0.908148965487321,13,4,0.108616029193134,0.9,0.76,0.0,0.0,0.0,0.660373611783323,A
CP193681,CP193681,high_risk,13,3,0,270545,False,IncHI2;pKPC-CAV1321;IncHI2A,0,1.0,0,0.0,0.978552640171999,23,0.825436881676017,11,4,0.108316546230756,0.9,0.76,0.0,0.0,0.0,0.64229399383877,A
CP193685,CP193685,high_risk,19,3,0,295958,False,IncHI2A;pKPC-CAV1321;IncHI2,0,1.0,0,0.0,0.981592811752063,32,0.908148965487321,13,4,0.108616087417809,0.9,0.76,0.0,0.0,0.0,0.66037358531767,A
CP193690,CP193690,high_risk,19,3,0,295959,False,IncHI2A;pKPC-CAV1321;IncHI2,0,1.0,0,0.0,0.981592917807046,32,0.908148965487321,13,4,0.108616058305373,0.9,0.76,0.0,0.0,0.0,0.660373598550563,A
CP193692,CP193692,high_risk,19,3,0,297284,False,IncHI2A;pKPC-CAV1321;IncHI2,0,1.0,0,0.0,0.98173260367883,32,0.908148965487321,14,4,0.109082224404946,0.9,0.76,0.0,0.0,0.0,0.660493998257104,A
CP193701,CP193701,high_risk,14,3,0,277319,False,IncHI2A;pKPC-CAV1321;IncHI2,0,1.0,0,0.0,0.979435971026078,29,0.88339402368665,13,4,0.10919518677047,0.9,0.76,0.0,0.0,0.0,0.654873578983988,A
CP193706,CP193706,high_risk,14,3,0,277318,False,IncHI2A;pKPC-CAV1321;IncHI2,0,1.0,0,0.0,0.979435844857554,29,0.88339402368665,13,4,0.109195219928025,0.9,0.76,0.0,0.0,0.0,0.654873562940176,A
CP193708,CP193708,high_risk,19,3,0,297023,False,IncHI2A;pKPC-CAV1321;IncHI2,0,1.0,0,0.0,0.981705219916956,32,0.908148965487321,14,5,0.109595216532053,0.9,0.76,0.0,0.0,0.0,0.6605937489661,A
CP193714,CP193714,high_risk,19,3,0,296788,False,IncHI2;pKPC-CAV1321;IncHI2A,0,1.0,0,0.0,0.981680508940207,32,0.908148965487321,14,5,0.109602814129951,0.9,0.76,0.0,0.0,0.0,0.660590831891235,A
LC942391,LC942391,high_risk,5,1,0,109659,False,IncFIA;IncFII(pRSB107),0,0.756641376279689,0,0.0,0.904796392759253,1,0.25,9,3,0.595,0.9,0.76,0.0,0.0,0.0,0.547184496724141,B
LC942392,LC942392,high_risk,5,1,0,109659,False,IncFIA;IncFII(pRSB107),0,0.756641376279689,0,0.0,0.904796392759253,1,0.25,9,3,0.595,0.9,0.76,0.0,0.0,0.0,0.547184496724141,B
LC942393,LC942393,high_risk,12,1,0,121298,False,IncFIA;IncFII(pRSB107),0,0.996846320583541,0,0.0,0.918857899590669,2,0.285342901705939,11,2,0.595,0.9,0.76,0.0,0.0,0.0,0.615993408365138,A
LC942394,LC942394,high_risk,12,1,0,121298,False,IncFIA;IncFII(pRSB107),0,0.996846320583541,0,0.0,0.918857899590669,2,0.285342901705939,11,2,0.595,0.9,0.76,0.0,0.0,0.0,0.615993408365138,A
LC942395,LC942395,high_risk,10,1,0,120243,False,IncFIA;IncFII(pRSB107),0,0.944948051202489,0,0.0,0.91771923925177,2,0.285342901705939,11,2,0.595,0.9,0.76,0.0,0.0,0.0,0.603082842231384,A
LC942397,LC942397,high_risk,5,1,0,106502,False,IncFIA;IncFII(pRSB107),0,0.756641376279689,0,0.0,0.900334432970153,1,0.25,8,2,0.595,0.9,0.76,0.0,0.0,0.0,0.546377774394272,B
NC_004961,NC_004961,low_risk,0,0,0,6886,False,,0,0.0,0,0.0,0.0719832088318636,0,0.0,0,0,0.0851933352000387,0.3,0.76,0.0,0.0,0.0,0.0527345238711289,E
NC_011376,NC_011376,low_risk,0,0,0,2970,False,,0,0.0,0,0.0,0.0176804140793045,0,0.0,0,0,0.0851933352000387,0.3,0.76,0.0,0.0,0.0,0.0429165785798662,E
NC_023916,NC_023916,high_risk,1,1,0,111741,False,IncFIB(H89-PhagePlasmid),0,0.415338279036697,0,0.0,0.907573867010213,0,0.0,1,0,0.10134238999114,0.3,0.76,0.0,0.0,0.0,0.308780147660822,C
NZ_AP050513,NZ_AP050513,high_risk,9,1,0,128582,False,IncFIA;IncFII,0,0.915338279036696,0,0.0,0.926097693261914,2,0.285342901705939,10,2,0.42,0.9,0.76,0.0,0.0,0.0,0.561631694490232,B
NZ_CP021328,NZ_CP021328,high_risk,24,2,0,446611,False,IncFII(p14);IncFIB(pQil);IncU;repFIB_1_pC39;repHI5B_1_pC39,0,1.0,0,0.0,0.990908052746438,24,0.836039590648038,32,4,0.436746326063824,0.9,0.8,0.0,0.0,0.0,0.714927662631048,A
NZ_CP035159,NZ_CP035159,low_risk,0,0,0,4443,False,,0,0.0,0,0.0,0.0349662499444223,0,0.0,0,0,0.0851933352000387,0.3,0.76,0.0,0.0,0.0,0.0460418577042795,E
NZ_CP035160,NZ_CP035160,low_risk,0,0,0,5443,False,,0,0.0,0,0.0,0.0490261991383095,0,0.0,0,0,0.0851933352000387,0.3,0.76,0.0,0.0,0.0,0.0485838965185343,E
NZ_CP038654,NZ_CP038654,high_risk,19,3,0,296117,False,IncHI2A;pKPC-CAV1321;IncHI2,0,1.0,0,0.0,0.981609662469619,30,0.891910534276641,15,3,0.109118017540364,0.9,0.76,0.0,0.0,0.0,0.657049519193722,A
NZ_CP038657,NZ_CP038657,high_risk,15,3,0,263189,False,IncHI2A;pKPC-CAV1321;IncHI2,0,1.0,0,0.0,0.977524244890241,22,0.814382860162688,14,3,0.109688854777365,0.9,0.76,0.0,0.0,0.0,0.640053538802576,A
NZ_CP038659,NZ_CP038659,high_risk,23,3,0,385971,False,IncHI2;pKPC-CAV1321;IncHI2A,0,1.0,0,0.0,0.988315440873719,30,0.891910534276641,16,4,0.107772604677554,0.9,0.76,0.0,0.0,0.0,0.657987325163884,A
NZ_CP061945,NZ_CP061945,low_risk,0,0,0,5284,False,,0,0.0,0,0.0,0.0466800462145963,0,0.0,0,0,0.0851933352000387,0.3,0.76,0.0,0.0,0.0,0.0481597120699269,E
NZ_CP072508,NZ_CP072508,high_risk,5,1,1,91525,False,rep9c_1_repA(pTW9),0,0.756641376279689,1,0.289064826317888,0.874096377884345,0,0.0,5,0,0.108194482381863,0.3,0.76,0.0,0.0,0.0,0.419358432853336,C
NZ_CP085727,NZ_CP085727,high_risk,13,1,0,265587,False,IncHI2A;pKPC-CAV1321;IncHI2,0,1.0,0,0.0,0.977867828327682,30,0.891910534276641,20,3,0.112990093641632,0.9,0.76,0.0,0.0,0.0,0.657163286313129,A
NZ_CP085728,NZ_CP085728,high_risk,4,1,0,106850,False,,0,0.7,0,0.0,0.900841798404382,7,0.540093979970078,1,1,0.10280767430978,0.3,0.76,0.0,0.0,0.0,0.491615092047819,B
NZ_CP085765,NZ_CP085765,low_risk,0,0,0,100320,False,IncFII(Yp),0,0.0,0,0.0,0.890617592201634,4,0.418019795324019,4,1,0.595,0.9,0.78,0.0,0.0,0.0,0.395444941442488,C
NZ_CP085766,NZ_CP085766,high_risk,9,1,0,364473,False,IncHI1A(NDM-CIT);IncHI1B(pNDM-CIT),0,0.915338279036696,0,0.0,0.987108050077671,28,0.874588763425817,16,2,0.1074079561449,0.3,0.76,0.0,0.0,0.0,0.631511056846933,A
NZ_CP088966,NZ_CP088966,low_risk,0,0,0,188867,False,,0,0.0,0,0.0,0.960688733808384,6,0.505411831014226,4,0,0.103176838727782,0.3,0.76,0.0,0.0,0.0,0.323825894567101,C
NZ_CP089039,NZ_CP089039,high_risk,19,1,0,317317,False,,0,1.0,0,0.0,0.983657172846784,12,0.666195071670059,26,11,0.117490396039292,0.3,0.76,0.0,0.0,0.0,0.609657405819034,A
NZ_CP089040,NZ_CP089040,low_risk,0,0,0,125695,False,,0,0.0,0,0.0,0.92335199828501,1,0.25,8,3,0.113127013803254,0.3,0.76,0.0,0.0,0.0,0.265163264807174,D
NZ_CP089045,NZ_CP089045,high_risk,15,1,0,258901,False,,0,1.0,0,0.0,0.976888673871615,9,0.598051121980712,20,10,0.117381161138814,0.3,0.76,0.0,0.0,0.0,0.594019364186746,B
NZ_CP089046,NZ_CP089046,low_risk,0,0,0,100542,False,,0,0.0,0,0.0,0.890991114852949,13,0.685443157670919,13,10,0.134314018022319,0.3,0.76,0.0,0.0,0.0,0.355602279543867,C
NZ_CP089047,NZ_CP089047,low_risk,0,0,0,100296,False,,0,0.0,0,0.0,0.890577094606526,0,0.0,0,0,0.0851933352000387,0.3,0.76,0.0,0.0,0.0,0.200736298419188,D
NZ_CP089048,NZ_CP089048,low_risk,0,0,0,90792,False,,0,0.0,0,0.0,0.872551054782784,0,0.0,9,4,0.121477663230241,0.3,0.76,0.0,0.0,0.0,0.204882821770019,D
NZ_CP089052,NZ_CP089052,high_risk,20,1,0,313387,False,,0,1.0,0,0.0,0.983305473041397,11,0.645405555019324,30,11,0.119624298391446,0.3,0.76,0.0,0.0,0.0,0.60563860204766,A
NZ_CP091812,NZ_CP091812,high_risk,12,1,0,344532,False,IncFII(pECLA);IncHI1A(NDM-CIT);IncHI1B(pNDM-CIT),0,0.996846320583541,0,0.0,0.98580310327496,15,0.720125306626771,15,7,0.109904229848364,0.9,0.8,0.0,0.0,0.14016454749439,0.624103517270756,A
NZ_CP092456,NZ_CP092456,low_risk,0,0,0,7232,False,,0,0.0,0,0.0,0.0778839382241886,0,0.0,0,0,0.0851933352000387,0.3,0.76,0.0,0.0,0.0,0.0538013757452612,E
NZ_CP097015,NZ_CP097015,high_risk,6,1,0,232122,False,repUS15_2_repA(pNB2354p1);rep1_1_repE(pAMbeta),0,0.804530977561084,0,0.0,0.972196071944688,12,0.666195071670059,21,1,0.114216661927779,0.3,0.76,0.0,0.0,0.0,0.559066252950729,B
